"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SFRP5",0,1.5352677171528,0.36,0.007,0,"5","SFRP5"
"IFITM2",0,1.47720312205164,0.795,0.203,0,"5","IFITM2"
"KRT80",0,1.41768766357262,0.424,0.013,0,"5","KRT80"
"TGFA",0,1.41694073762552,0.467,0.021,0,"5","TGFA"
"NEURL3",0,1.41502293913863,0.461,0.049,0,"5","NEURL3"
"ADAMTS9",0,1.38476016821922,0.401,0.028,0,"5","ADAMTS9"
"ANXA3",0,1.35828252486023,0.467,0.022,0,"5","ANXA3"
"RHPN2",0,1.34913582983516,0.457,0.021,0,"5","RHPN2"
"EPHB2",0,1.34773970876087,0.455,0.036,0,"5","EPHB2"
"C1orf106",0,1.32218789368863,0.489,0.041,0,"5","C1orf106"
"HSPB8",0,1.31369483661697,0.481,0.027,0,"5","HSPB8"
"NCEH1",0,1.30003897738632,0.465,0.045,0,"5","NCEH1"
"CAV2",0,1.29629596170584,0.497,0.052,0,"5","CAV2"
"SLPI",0,1.28650671418771,0.339,0.018,0,"5","SLPI"
"MUC20",0,1.24746704618625,0.408,0.037,0,"5","MUC20"
"SDC1",0,1.2053608719478,0.4,0.023,0,"5","SDC1"
"ABCC3",0,1.20096391531232,0.485,0.057,0,"5","ABCC3"
"HSPG2",0,1.17245580417488,0.58,0.074,0,"5","HSPG2"
"VNN1",0,1.16138367387516,0.363,0.012,0,"5","VNN1"
"TRPV6",0,1.11427237291224,0.367,0.008,0,"5","TRPV6"
"WWTR1",0,1.09262323816801,0.469,0.055,0,"5","WWTR1"
"GYPC",0,1.06706709246031,0.479,0.053,0,"5","GYPC"
"COL18A1",0,1.04730262294369,0.716,0.102,0,"5","COL18A1"
"PROM1",0,0.918738832788734,0.286,0.007,0,"5","PROM1"
"BARX2",0,0.833649395986328,0.267,0.003,0,"5","BARX2"
"HKDC1",0,0.724137274208952,0.256,0.006,0,"5","HKDC1"
"TMEM265",2.86558074587923e-322,0.999253973822066,0.41,0.042,5.76698125108195e-318,"5","TMEM265"
"S100A111",3.55727265005698e-322,2.09315633898418,0.977,0.682,7.15901120823966e-318,"5","S100A11"
"ITGA5",2.34893630002304e-318,1.06777581639378,0.573,0.086,4.72723430379636e-314,"5","ITGA5"
"CD241",2.51058469802938e-318,1.99173609411388,0.936,0.388,5.05255170478412e-314,"5","CD24"
"TMSB101",1.19733844875751e-317,2.12765796128777,0.972,0.653,2.40964362812449e-313,"5","TMSB10"
"AMBP",1.81415766870189e-317,1.95965015468702,0.418,0.045,3.65099230826255e-313,"5","AMBP"
"PHLDA2",1.27469104609361e-316,1.66715694803138,0.558,0.095,2.56531573026339e-312,"5","PHLDA2"
"IFITM31",3.60449479231983e-315,1.82978053613662,0.939,0.314,7.25404576954366e-311,"5","IFITM3"
