"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBALD2",3.30940504111231e-05,2.81743040333584,0.521,0.302,0.579112788144243
"ATP2A2",3.51402184493644e-05,12.953102462316,0.562,0.333,0.614918682645427
"PRR13",3.5668071960991e-05,2.68458441507035,0.562,0.414,0.624155591245382
"MGST1",3.58986447307865e-05,4.27458774773251,0.479,0.14,0.628190384144033
"OST4",3.60638102904971e-05,1.26422757448362,0.57,0.429,0.631080616273409
"RPL21",3.64490468737623e-05,1.2824631017862,0.579,0.428,0.637821871243967
"HSP90B1",3.84684921968092e-05,10.5321937667207,0.479,0.32,0.673160144951964
"CDC42",3.88095159867559e-05,1.44514302506657,0.62,0.415,0.679127720252242
"TMED9",4.23982438005195e-05,4.81284985978839,0.537,0.403,0.74192686826529
"ALKBH5",4.34498556358618e-05,1.01300672144899,0.595,0.416,0.760329023771946
"MYDGF",4.59994447653313e-05,2.19058035262325,0.57,0.4,0.804944283948532
"RPS3A",4.61973829415773e-05,1.51778122090024,0.595,0.426,0.80840800409466
"DNAJB2",4.77419228648474e-05,0.263006776535173,0.587,0.383,0.835435908211965
"DERL1",5.02223460127446e-05,1.403685970669,0.463,0.254,0.878840832877019
"POLR1D",5.11770445699984e-05,2.61220203196723,0.529,0.351,0.895547102930402
"RTN3",5.21695263280891e-05,2.0443616376284,0.554,0.377,0.912914541215231
"COPS2",5.46513920117016e-05,0.870535816459446,0.413,0.194,0.956344708812767
"CYSTM1",5.51271418940951e-05,3.47384980661419,0.562,0.423,0.96466985600477
"CLDN7",5.7380026111486e-05,3.46518693787285,0.579,0.371,1
"VDAC2",6.55427756798702e-05,1.21890007134073,0.554,0.398,1
"VAMP8",6.5891530188017e-05,2.70011579139388,0.521,0.365,1
"EEF1A1",6.77884689407039e-05,1.56539735402581,0.537,0.334,1
"DNM2",6.95581588774421e-05,3.17911367384164,0.463,0.235,1
"INSIG2",7.37368607602563e-05,6.42730609648661,0.331,0.097,1
"MRPS18B",7.45012264676359e-05,3.07515593926856,0.512,0.301,1
"MYO1C",7.56706158255433e-05,0.841549503679488,0.554,0.347,1
"SEC24D",7.78988494252564e-05,7.20394713872553,0.479,0.324,1
"SLK",8.86376171923495e-05,1.47472439355675,0.471,0.24,1
"BTF3",8.94990985423743e-05,0.669005324151005,0.587,0.419,1
"DYNLT1",0.000100925935659956,2.87081447941702,0.529,0.382,1
"GUCD1",0.000103905587062463,1.08912103342027,0.446,0.204,1
"ARPC3",0.000105306203484044,1.57598297972842,0.612,0.444,1
"DHRS9",0.000107301840032433,40.7591894696324,0.298,0.013,1
"RAD23B",0.000114246638883097,0.54015526141342,0.545,0.398,1
"ANXA1",0.000116260909897389,9.81985584150256,0.331,0.054,1
"SLMO2",0.000119620437604043,2.95293725120317,0.512,0.302,1
"TMEM87A",0.00012237741435468,0.95148284913506,0.471,0.273,1
"BACE2",0.000127668134119031,5.63104715463259,0.479,0.241,1
"EFNA1",0.000128747950759468,0.996328196638707,0.438,0.187,1
"IRF2BP2",0.000139308899449359,5.00405786545297,0.545,0.372,1
"MORF4L1",0.000143399259999727,2.2252021835765,0.579,0.456,1
"RNF181",0.000147525447270112,2.69599915124486,0.496,0.322,1
"TOP1",0.00014819813549965,14.5514126248188,0.488,0.305,1
"RPS6",0.000149752977250226,0.890494236034135,0.545,0.386,1
"WEE1",0.000154142621040938,3.12205583289163,0.347,0.116,1
"TMED7",0.000156533839287808,2.59202541896432,0.521,0.374,1
"CPEB4",0.000156859942293254,2.66077581131302,0.455,0.261,1
"CAPNS1",0.000158806528205914,3.01458150495035,0.537,0.429,1
"TAX1BP3",0.000161493198512341,8.47406968858788,0.488,0.261,1
"PPP1R15B",0.000167714066407745,7.53688491238086,0.397,0.175,1
"XRCC5",0.00016889751272662,1.02299983985163,0.603,0.413,1
"ARFGAP3",0.000169988150775086,1.49085273088063,0.504,0.322,1
"RPS13",0.000171148713623132,1.07422150144457,0.587,0.405,1
"ILF2",0.000183711466424271,0.846246194769021,0.545,0.381,1
"MAGT1",0.000199784458136217,11.2905080475341,0.421,0.226,1
"PBX3",0.000202435290487641,1.30488142451735,0.05,0.132,1
"AIDA",0.000204519875097756,7.41726582041408,0.405,0.236,1
"EPRS",0.000208917499633671,4.693551085409,0.479,0.328,1
"LASP1",0.00021109550840681,9.01906933488376,0.521,0.3,1
"RPS20",0.000217567868174754,0.69983095835239,0.603,0.426,1
"EIF5A",0.000223054617596643,1.61996617956848,0.529,0.404,1
"MPG",0.0002275603744234,0.928403182314849,0.157,0.239,1
"CMAS",0.000231259965935322,1.69490613513776,0.438,0.255,1
"MTHFD2",0.000236349121331057,3.73829787015085,0.397,0.16,1
"DDAH1",0.000252819669402703,2.94006988216054,0.397,0.138,1
"RHOF",0.000255019257658622,9.85960125017368,0.281,0.036,1
"RELA",0.000259734450749502,1.21523631147915,0.438,0.24,1
"FAM195B",0.000284561385231201,0.339041831924848,0.157,0.246,1
"SFN",0.000300485692414725,63.1214596374727,0.281,0.047,1
"FLII",0.00030328813955098,1.0590143126688,0.455,0.249,1
"VASP",0.000303656413757047,3.44826181069191,0.463,0.247,1
"DYNC1I2",0.000329728137675575,0.630385608277077,0.521,0.331,1
"PLS1",0.000334916776703254,7.67845064685717,0.405,0.154,1
"SRP72",0.000352511794507094,1.72774397881077,0.512,0.36,1
"EPCAM",0.00036361333299207,1.01842944521104,0.562,0.398,1
"EIF3D",0.000367092397969787,1.12936764225133,0.587,0.395,1
"RPS12",0.000378462434769602,0.477752661469471,0.496,0.36,1
"APH1A",0.000392469110863355,0.470101810237857,0.545,0.38,1
"PJA2",0.000395427847325493,11.6940085941825,0.496,0.361,1
"HYOU1",0.000405962561937418,2.30962889296952,0.496,0.376,1
"LRRC59",0.000427434952404223,1.5631180530312,0.463,0.27,1
"ERH",0.00042910917913119,0.98365406395542,0.57,0.438,1
"PLXNB2",0.000460726858429729,1.3883698120055,0.529,0.378,1
"PAPOLA",0.000460886896943557,0.794301136101717,0.554,0.392,1
"SNHG8",0.000461687964249955,5.48579202743808,0.479,0.386,1
"SGSM3",0.000472449620493372,2.64131454444093,0.24,0.296,1
"STRA13",0.00048044094072236,3.28901682056732,0.397,0.206,1
"NARS",0.000481140335068792,1.46137674702496,0.463,0.277,1
"KCMF1",0.000493448853946419,1.50178820509776,0.471,0.288,1
"TSPAN8",0.000497868698030292,41.4869868793112,0.355,0.058,1
"FAM134A",0.000499143296491462,1.15749395681859,0.248,0.338,1
"SRPR",0.000500109853579893,4.65497400594957,0.57,0.406,1
"UBL5",0.000503158899278288,0.334302772561268,0.587,0.45,1
"UFM1",0.000509625313765811,1.77106938311237,0.488,0.343,1
"ARPP19",0.000526911343479588,5.74412166031357,0.529,0.412,1
"EIF4A2",0.00053701174907719,2.92739963290117,0.529,0.394,1
"SDF2L1",0.000544555444006277,0.739502064797973,0.488,0.371,1
"H2AFJ",0.000595945406965315,23.9293166823306,0.322,0.407,1
"GNA13",0.000618251109941355,4.83110227768995,0.306,0.091,1
"TMEM54",0.00071633999424754,16.6915886807936,0.488,0.283,1
"RNF7",0.000771927040022542,0.687699749680065,0.521,0.376,1
"HDGF",0.000800127710574461,2.81841624074029,0.562,0.384,1
"TIPARP",0.000822670380401274,3.56322877551159,0.388,0.15,1
"EIF4H",0.000850091806859032,0.417734722734771,0.537,0.428,1
"FICD",0.000858790286533055,4.96851422368144,0.331,0.125,1
"SARS",0.000867859882101936,3.29126921702933,0.537,0.389,1
"CFL1",0.000871674707646117,2.08509765821078,0.562,0.417,1
"DNAJC3",0.000878650352228709,4.44961877280413,0.463,0.333,1
"WBP2",0.000888208675848844,1.09498350647701,0.504,0.34,1
"ADGRF1",0.000911168907429772,104.32111208174,0.314,0.01,1
"VCP",0.000933135053425806,0.549335644781066,0.537,0.425,1
"GSTP1",0.000956852804446521,5.03961571949594,0.554,0.332,1
"COX5A",0.000958622306601941,1.95971585305731,0.306,0.407,1
"SRP19",0.000992759063664553,0.866407563239018,0.455,0.261,1
"CSNK2A1",0.00102464960104941,2.42353215049217,0.512,0.314,1
"SYF2",0.00103004466728707,4.617719467437,0.43,0.251,1
"TST",0.00103641741740204,7.25084888337254,0.372,0.114,1
"PCBP1",0.00104200671499047,0.93163812279431,0.554,0.42,1
"RPS21",0.00106415517107037,1.74204466942948,0.587,0.43,1
"NUS1",0.00107373968153198,3.44611253506754,0.355,0.177,1
"SGMS2",0.00107416127011693,0.922854224363789,0.364,0.175,1
"NDEL1",0.00111048859247334,2.08070798154747,0.331,0.156,1
"TSTD1",0.00111651904465246,0.314805243446241,0.298,0.39,1
"HIST1H1C",0.00112786151263541,73.5712137428251,0.132,0.168,1
"SPCS2",0.00117751482872925,4.11360271460835,0.504,0.406,1
"ATIC",0.00118149921529733,1.18206489420134,0.083,0.125,1
"PNPLA2",0.00119896207121235,0.839943902208321,0.471,0.274,1
"CRAT",0.00119989585035098,4.50315028385854,0.091,0.148,1
"STAU1",0.00122727196262379,2.57703429332786,0.512,0.336,1
"RBCK1",0.0012328478058995,9.4012458868784,0.43,0.268,1
"MLST8",0.00130783217737549,0.80837877721566,0.124,0.175,1
"SETX",0.00131942760945135,353.238550367263,0.314,0.139,1
"AREG",0.00135234924483609,1.63229267858007,0.281,0.031,1
"NEDD4L",0.00136737920243753,6.50312922618954,0.405,0.2,1
"DEK",0.00141339813459196,1.14664941643733,0.496,0.317,1
